日期,销量
2017-02-21,344
2017-02-21,369
2017-02-21,334
2017-02-21,342
2017-02-21,327
2017-02-21,409
2017-02-21,374
2017-02-21,353
2017-02-21,424
2017-02-21,392
2017-02-21,449
2017-02-21,446
2017-02-21,398
2017-02-21,447
2017-02-21,449
2017-02-21,456
2017-02-21,435
2017-02-21,458
2017-02-21,454
2017-02-21,438
2017-02-21,455
2017-02-21,458
2017-02-21,446
2017-02-21,476
2017-02-21,500
2017-02-21,516
2017-02-21,445
2017-02-21,504
2017-02-21,493
2017-02-21,470
2017-02-21,514
2017-02-21,539
2017-02-21,461
2017-02-21,563
2017-02-21,494
2017-02-21,532
2017-02-21,557
2017-02-21,513
2017-02-21,552
2017-02-21,521
2017-02-21,509
2017-02-21,521
2017-02-21,579
2017-02-21,552
2017-02-21,548
2017-02-21,622
2017-02-21,577
2017-02-21,603
2017-02-21,560
2017-02-21,609
2017-02-21,623
2017-02-21,579
2017-02-21,598
2017-02-21,615
2017-02-21,632
2017-02-21,671
2017-02-21,630
2017-02-21,618
2017-02-21,614
2017-02-21,646
2017-02-21,669
2017-02-21,658
2017-02-21,629
2017-02-21,623
2017-02-21,667
2017-02-21,660
2017-02-21,631
2017-02-21,657
2017-02-21,641
2017-02-21,671
2017-02-21,707
2017-02-21,657
2017-02-21,691
2017-02-21,715
2017-02-21,679
2017-02-21,734
2017-02-21,714
2017-02-21,699
2017-02-21,768
2017-02-21,772
2017-02-21,707
2017-02-21,782
2017-02-21,772
2017-02-21,751
2017-02-21,741
2017-02-21,742
2017-02-21,780
2017-02-21,748
2017-02-21,772
2017-02-21,819
2017-02-21,819
2017-02-21,831
2017-02-21,813
2017-02-21,817
2017-02-21,833
2017-02-21,790
2017-02-21,824
2017-02-21,813
2017-02-21,864
2017-02-21,825
2017-02-21,824
2017-02-21,820
2017-02-21,825
2017-02-21,890
2017-02-21,848
2017-02-21,842
2017-02-21,908
2017-02-21,894
2017-02-21,928
2017-02-21,908
2017-02-21,917
2017-02-21,924
2017-02-21,920
2017-02-21,909
2017-02-21,879
2017-02-21,909
2017-02-21,908
2017-02-21,938
2017-02-21,930
2017-02-21,907
2017-02-21,932
2017-02-21,989
2017-02-21,976
2017-02-21,1003
2017-02-21,964
2017-02-21,1014
2017-02-21,997
2017-02-21,978
2017-02-21,978
2017-02-21,946
2017-02-21,968
2017-02-21,1045
2017-02-21,994
2017-02-21,1035
2017-02-21,975
2017-02-21,1066
2017-02-21,999
2017-02-21,1064
2017-02-21,1040
2017-02-21,1034
2017-02-21,1092
2017-02-21,1036
2017-02-21,1094
2017-02-21,1112
2017-02-21,1091
2017-02-21,1073
2017-02-21,1128
2017-02-21,1054
2017-02-21,1107
2017-02-21,1132
2017-02-21,1052
2017-02-21,1116
2017-02-21,1063
2017-02-21,1080
2017-02-21,1079
2017-02-21,1124
2017-02-21,1085
2017-02-21,1180
2017-02-21,1161
2017-02-21,1186
2017-02-21,1117
2017-02-21,1194
2017-02-21,1138
2017-02-21,1158
2017-02-21,1173
2017-02-21,1183
2017-02-21,1160
2017-02-21,1165
2017-02-21,1207
2017-02-21,1166
2017-02-21,1195
2017-02-21,1186
2017-02-21,1198
2017-02-21,1229
2017-02-21,1227
2017-02-21,1236
2017-02-21,1185
2017-02-21,1235
2017-02-21,1211
2017-02-21,1224
2017-02-21,1200
2017-02-21,1287
2017-02-21,1237
2017-02-21,1232
2017-02-21,1275
2017-02-21,1240
2017-02-21,1323
2017-02-21,1297
2017-02-21,1257
2017-02-21,1281
2017-02-21,1345
2017-02-21,1296
2017-02-21,1341
2017-02-21,1274
2017-02-21,1315
2017-02-21,1331
2017-02-21,1367
2017-02-21,1338
2017-02-21,1305
2017-02-21,1343
2017-02-21,1325
2017-02-21,1394
2017-02-21,1327
2017-02-21,1384
2017-02-21,1343
2017-02-21,1381
2017-02-21,1355
2017-02-21,1376
2017-02-21,1427
2017-02-21,1354
2017-02-21,1435
2017-02-21,1382
2017-02-21,1409
2017-02-21,1408
2017-02-21,1370
2017-02-21,1425
2017-02-21,1404
2017-02-21,1432
2017-02-21,1405
2017-02-21,1469
2017-02-21,1406
2017-02-21,1418
2017-02-21,1466
2017-02-21,1493
2017-02-21,1504
2017-02-21,1491
2017-02-21,1501
2017-02-21,1493
2017-02-21,1462
2017-02-21,1490
2017-02-21,1546
2017-02-21,1541
2017-02-21,1528
2017-02-21,1540
2017-02-21,1524
2017-02-21,1516
2017-02-21,1543
2017-02-21,1520
2017-02-21,1550
2017-02-21,1574
2017-02-21,1567
2017-02-21,1592
2017-02-21,1570
2017-02-21,1587
2017-02-21,1572
2017-02-21,1573
2017-02-21,1605
2017-02-21,1599
2017-02-21,1636
2017-02-21,1596
2017-02-21,1616
2017-02-21,1620
2017-02-21,1613
2017-02-21,1634
2017-02-21,1631
2017-02-21,1634
2017-02-21,1618
2017-02-21,1596
2017-02-21,1608
2017-02-21,1599
2017-02-21,1601
2017-02-21,1686
2017-02-21,1659
2017-02-21,1650
2017-02-21,1716
2017-02-21,1718
2017-02-21,1709
2017-02-21,1711
2017-02-21,1720
2017-02-21,1655
2017-02-21,1709
2017-02-21,1660
2017-02-21,1708
2017-02-21,1722
2017-02-21,1709
2017-02-21,1767
2017-02-21,1681
2017-02-21,1783
2017-02-21,1765
2017-02-21,1784
2017-02-21,1756
2017-02-21,1764
2017-02-21,1716
2017-02-21,1767
2017-02-21,1787
2017-02-21,1779
2017-02-21,1757
2017-02-21,1808
2017-02-21,1839
2017-02-21,1836
2017-02-21,1820
2017-02-21,1785
2017-02-21,1847
2017-02-21,1766
2017-02-21,1854
2017-02-21,1849
2017-02-21,1853
2017-02-21,1805
2017-02-21,1844
2017-02-21,1872
2017-02-21,1854
2017-02-21,1854
2017-02-21,1891
2017-02-21,1913
2017-02-21,1831
2017-02-21,1883
2017-02-21,1918
2017-02-21,1869
2017-02-21,1928
2017-02-21,1909
2017-02-21,1941
2017-02-21,1882
2017-02-21,1888
2017-02-21,1897
2017-02-21,1939
2017-02-21,1907
2017-02-21,1911
2017-02-21,1917
2017-02-21,1923
2017-02-21,1939
2017-02-21,1965
2017-02-21,1937
2017-02-21,1929
2017-02-21,1988
2017-02-21,1996
2017-02-21,1952
2017-02-21,2027
2017-02-21,2014
2017-02-21,1960
2017-02-21,2007
2017-02-21,2020
2017-02-21,2032
2017-02-21,2021
2017-02-21,1975
2017-02-21,1977
